Station_Name,total_trains,unique_trains
GOBARDANGA,75,75
RANI GANJ,75,75
MEERUT CITY,75,75
YAMUNANAGER,74,74
SAMBALPUR JN,74,74
SULLURUPETTA,74,74
SAUGOR,74,74
SAINTHIA JN.,74,74
BHATNI JN.,74,74
BIRUR JN.,73,73
MANKAPUR JN.,73,73
NIZAMABAD,73,73
BEGU SARAI,73,73
DHONE JN,73,73
KAMARKUNDU J,73,73
PUNDOOAH,73,73
ETAWAH,73,73
VANGANI,73,73
BHIVPURI ROA,73,73
HATHIDAH JN,72,72
CHAMPA JN.,72,72
ANAKAPALLE,72,72
NIDADAVOLU J,72,72
BARH,72,72
HARDOI,72,72
ANUPPUR JN.,72,72
NARSINGHPUR,72,72
TARAKESHWAR,72,72
MAVELIKARA,71,71
VIDISHA,71,71
MANIKPUR JN.,71,71
RAJNANDGAON,71,71
MAHBUBNAGAR,71,71
HAPUR JN.,71,71
PARTAPGARH J,71,71
NEW ALIPURDU,71,71
JANAI ROAD,71,71
WANKANER,70,70
JIND JN,70,70
THALASSERY,70,70
GOBRA,70,70
BEGAMPUR,70,70
SULTANPUR JN,70,70
VIRUDUNAGAR,70,70
NANDURBAR,70,70
BARUI PARA,70,70
NARAYAN PAKU,70,70
LALITPUR,70,70
MAGRA,70,70
PAKUR,69,69
KHALILABAD,69,69
GUDIVADA JN.,69,69
KHAIRATABAD,69,69
KOKRAJHAR,69,69
SINGUR,69,69
DEWAS,69,69
NANDAIGAJAN,69,69
BALLABGARH,69,69
DIARA,69,69
NASIBPUR,69,69
ALLEPPEY,68,68
AURANGABAD,68,68
NABADWIP DHA,68,68
TITLA GARH J,68,68
DAMOH,68,68
UDUPI,68,68
THANJAVUR JN,68,68
MALKAPUR,68,68
JAMES STREET,68,68
BOISAR,68,68
SANJIVAIAH P,68,68
THAKURNAGAR,67,67
JALNA,67,67
SEWAGRAM,67,67
KARUR JN.,67,67
KURNOOL TOWN,67,67
KARNAL,67,67
MEMARI,67,67
MAU JN.,67,67
KHANYAN,67,67
MUDKHED JN.,67,67
BOKARO STEEL,66,66
PANDHURNA,66,66
ORAI,66,66
SONIPAT,66,66
KURDUVADI JN,66,66
BELA NAGAR,66,66
HINDUPUR,66,66
SHIVAJINAGAR,66,66
BAINCHI,66,66
JAUNPUR JN.,66,66
CHANDIGARH,66,66
GANDHINAGAR,66,64
SIRHIND JN.,66,66
FIROZPUR CAN,66,66
CHITTAURGARH,65,65
BAPATIA,65,65
MALIYA,65,65
CHANDPARA,65,65
NALIKUL,65,65
NAJIBABAD JN,65,65
VRIDHA CHALA,65,65
MANSI JN.,65,65
KAMARKUNDU H,65,65
ADI SAPTAGRA,65,65
DAVANGERE,65,65
TALANDU,65,65
BANDIKUI JN.,65,65
BIKANER JN.,65,65
HARI PAL,65,65
CHANDANPUR,64,64
DHARWAD,64,64
MIRZAPUR BAN,64,64
KISHANGARH,64,64
BHABUA ROAD,64,64
KATHUA,64,64
BARHIYA,64,64
SIMHACHALAM,64,44
SHUJALPUR,64,64
PARVATIPURAM,64,44
DAKHINESWAR,64,64
LUMDING JN.,64,64
CHINCHVAD,64,64
PALWAL,64,64
BALARAMBATI,64,64
